Suburb/Town Name,House Price,Offence Count
JEPARIT,2.4127,-0.1622
JUNCTION VILLAGE,1.0156,1.5833
JUNORTOUN,0.7011,3.1364
KALIMNA,0.6228,0.75
KALKALLO,0.4222,10.9655
KALLISTA,0.7903,-0.2759
KALORAMA,0.9623,1.4
KANGAROO FLAT,0.6667,0.2659
KANIVA,1.2857,0.5405
KATUNGA,0.871,-0.381
KEALBA,0.7179,-0.3006
KEILOR,0.7891,-0.1187
KEILOR DOWNS,0.7949,0.2956
KEILOR EAST,0.6361,-0.0622
KEILOR LODGE,0.84,0.2
KEILOR PARK,0.5512,-0.1561
KENNINGTON,0.7681,0.6039
KENSINGTON,0.4102,-0.3537
KERANG,0.931,1.2463
KEW,0.4897,-0.0416
KEW EAST,0.6743,0.4074
KEYSBOROUGH,1.0011,0.2644
KIALLA,0.7808,0.2778
KILCUNDA,1.5312,-0.7
KILMORE,0.8495,0.1874
KILSYTH,0.7609,0.4167
KILSYTH SOUTH,0.8174,0.1
KINGLAKE,1.0833,0.0877
KINGS PARK,0.8462,-0.2985
KINGSBURY,0.5622,0.4431
KINGSVILLE,0.7058,0.3309
KNOXFIELD,0.6379,-0.1715
KOO WEE RUP,0.9955,0.5361
KOONDROOK,1.0645,-0.1111
KOROIT,0.9417,0.3827
KORUMBURRA,1.4719,1.2741
KURUNJANG,0.8571,-0.1953
KYABRAM,0.9362,0.4553
KYNETON,0.9375,-0.129
LAKE BOGA,2.108,0.9048
LAKE BUNGA,2.2308,-0.2727
LAKE GARDENS,0.764,1.2564
LAKE TYERS BEACH,0.6667,0.75
LAKE WENDOUREE,1.0,-0.1842
LAKES ENTRANCE,1.0177,0.045
LALOR,0.7662,-0.1523
LANCEFIELD,0.7265,-0.14
LANG LANG,1.3983,1.6966
LANGWARRIN,0.9881,0.0051
LARA,1.0074,0.4854
LAUNCHING PLACE,0.9259,1.3208
LAVERTON,0.6341,-0.3162
LENEVA,0.8389,1.7692
LEONGATHA,0.9628,1.3252
LEOPOLD,0.8554,0.1818
LILYDALE,0.9192,-0.0881
LINDENOW,0.6482,1.2727
LISMORE,1.3394,0.6552
LOCH SPORT,1.5407,0.0119
LONG GULLY,0.5686,0.6816
LONGWARRY,0.916,-0.0261
LORNE,1.362,-0.5818
LOVELY BANKS,0.6974,0.8969
LOWER PLENTY,0.9541,-0.2586
LUCAS,0.8028,8.1905
LUCKNOW,0.7467,1.1429
LYNBROOK,0.7707,0.2643
LYNDHURST,0.8756,0.2278
LYSTERFIELD,0.9478,-0.04
LYSTERFIELD SOUTH,0.9255,-0.0577
MACEDON,1.4022,0.2558
MACLEOD,0.6312,-0.4223
MADDINGLEY,0.9531,0.5403
MAFFRA,0.9767,0.2857
MAIDEN GULLY,0.9217,0.8316
MAIDSTONE,0.5234,0.0771
MALDON,1.2846,0.0
MALLACOOTA,0.9474,-0.5096
MALMSBURY,1.4173,-0.6444
MALVERN,0.5416,0.0657
MALVERN EAST,0.5761,0.2483
MANIFOLD HEIGHTS,1.1472,-0.1655
MANOR LAKES,0.7917,1.87
MANSFIELD,1.2651,0.0056
MARIBYRNONG,0.5057,0.022
MARLO,1.2982,0.4815
MARONG,0.8043,0.2581
MARSHALL,0.5948,0.0455
MARYBOROUGH,0.9975,0.0744
MARYSVILLE,4.54,3.875
MCCRAE,1.4533,-0.1494
MCKENZIE HILL,4.95,9.6667
MCKINNON,0.6393,0.5882
MEADOW HEIGHTS,0.7395,-0.2953
MELTON,0.9604,-0.0191
MELTON SOUTH,1.0798,0.21
MELTON WEST,0.8966,0.0595
MENTONE,0.6512,0.3498
MENZIES CREEK,1.0479,0.3636
MERBEIN,0.7964,0.0132
MERNDA,0.8108,-0.057
MERRIGUM,0.8289,1.4074
METUNG,1.6817,-0.4493
MICKLEHAM,3.0476,2.7169
MIDDLE PARK,0.1638,-0.0881
MILDURA,0.7796,0.3658
MILL PARK,0.8118,-0.214
MILLGROVE,1.1692,-0.1017
MINERS REST,0.8015,0.2421
MINYIP,0.7316,1.3636
MIRBOO NORTH,1.24,-0.3333
MITCHAM,0.6575,-0.0451
MITCHELL PARK,0.729,1.4933
MOE,1.1471,-0.0331
MONBULK,0.8118,0.8833
MONT ALBERT,0.6,0.5731
MONT ALBERT NORTH,0.5591,0.3838
MONTMORENCY,0.8241,-0.0335
MONTROSE,0.7754,-0.3492
MOONEE PONDS,0.6603,-0.0997
MOORABBIN,0.6927,0.4618
MOOROOLBARK,0.7656,-0.2108
MOOROOPNA,0.7558,-0.0613
MORDIALLOC,0.8344,0.2492
MORNINGTON,0.9167,0.0574
MORTLAKE,1.2885,-0.0673
MORWELL,1.23,0.124
MOUNT BEAUTY,1.6575,-0.2414
MOUNT CLEAR,0.8229,0.1364
MOUNT DANDENONG,0.4549,-0.1207
MOUNT DUNEED,0.3534,3.1481
MOUNT ELIZA,1.1865,0.3616
MOUNT EVELYN,0.937,-0.0401
MOUNT HELEN,0.5761,0.2769
MOUNT MACEDON,1.41,-0.037
